B2,B3,B4,B5,B6,B7,B8,class
537.0,653.5,702.5,1641.0,2532.0,2742.0,2229.0,50
798.0,1220.0,1599.0,2290.5,2721.5,2932.0,2938.0,50
778.0,1163.0,1680.0,1960.5,2128.0,2300.0,2338.5,50
396.5,601.0,683.0,1167.5,1820.5,2030.0,1872.0,50
1222.0,1481.0,1658.5,1899.0,2128.0,2215.0,2133.0,50
1101.0,1503.0,2456.0,2225.0,2504.0,2590.5,2742.5,50
1281.0,1696.0,2185.0,2498.5,2546.0,2670.5,2658.0,50
1518.0,1821.0,1852.0,1616.5,1750.0,1747.0,1884.5,50
939.5,1338.0,1750.0,2021.5,2307.5,2534.5,2649.0,50
845.5,1120.0,1417.0,1903.0,2168.0,2257.0,1937.0,50
1446.0,1909.0,2283.0,2108.0,2275.5,2452.0,2783.5,50
2936.0,3152.0,3474.0,2733.0,3075.0,3184.0,3556.5,50
2164.0,2198.0,2053.0,1716.0,1954.0,2053.5,2024.5,50
902.5,1272.0,1801.0,1884.5,2037.5,2187.5,2321.5,50
972.0,1330.0,1566.0,1977.0,2223.0,2292.5,2045.5,50
840.0,1238.0,1588.0,1494.5,2019.5,2234.5,2550.0,50
725.0,994.5,1232.0,1533.5,1915.5,2123.5,2125.5,50
1154.0,1587.0,1869.0,2212.0,2520.5,2694.0,2866.0,50
1189.0,1547.0,1820.0,1978.0,2364.0,2513.0,2539.0,50
1028.0,1280.0,1498.0,1399.0,1451.5,1507.0,1749.0,50
